Index;Company;Symbol;WKN;ISIN;Knockout Certificates
DAX;adidas AG;ADS.DE;A1EWWW;DE000A1EWWW0;Available
DAX;Airbus SE;AIR;938914;NL0000235190;Available
DAX;Allianz SE;ALV;840400;DE0008404005;Available
DAX;BASF SE;BAS.DE;BASF11;DE000BASF111;Available
DAX;Bayer AG;BAYN.DE;BAY001;DE000BAY0017;Available
DAX;Beiersdorf AG;BEI.DE;520000;DE0005200000;Available
DAX;BMW AG;BMW.DE;519000;DE0005190003;Available
DAX;Brenntag SE;BNR;A1DAHH;DE000A1DAHH0;Available
DAX;Commerzbank AG;CBK.DE;CBK100;DE000CBK1001;Available
DAX;Continental AG;CON;543900;DE0005439004;Available
DAX;Daimler Truck Holding AG;DTG;DTR0CK;DE000DTR0CK8;Available
DAX;Deutsche Bank AG;DBK.DE;514000;DE0005140008;Available
DAX;Deutsche Börse AG;DB1.DE;581005;DE0005810055;Available
DAX;Deutsche Post AG;0N08.IL;555200;DE0005552004;Available
DAX;Deutsche Telekom AG;DTE;555750;DE0005557508;Available
DAX;E.ON SE;EOAN.DE;ENAG99;DE000ENAG999;Available
DAX;Fresenius SE & Co. KGaA;FRE.DE;578560;DE0005785604;Available
DAX;Fresenius Medical Care AG;FME.DE;578580;DE0005785802;Available
DAX;Hannover Rück SE;HNR1.DE;840221;DE0008402215;Available
DAX;Heidelberg Materials AG;HEI;604700;DE0006047004;Available
DAX;Henkel AG & Co. KGaA;HEN3.DE;604843;DE0006048432;Available
DAX;Infineon Technologies AG;IFX.DE;623100;DE0006231004;Available
DAX;Mercedes-Benz Group AG;MBG;710000;DE0007100000;Available
DAX;Merck KGaA;MRK;659990;DE0006599905;Available
DAX;MTU Aero Engines AG;MTX;A0D9PT;DE000A0D9PT0;Available
DAX;Münchener Rückversicherungs-Gesellschaft AG;MUV2.DE;843002;DE0008430026;Available
DAX;Porsche AG;P911.DE;PAG911;DE000PAG9113;Available
DAX;Porsche Automobil Holding SE;PAH3.DE;PAH003;DE000PAH0038;Available
DAX;QIAGEN N.V.;QIA.DE;A400D5;NL0015001WM6;Available
DAX;Rheinmetall AG;RHM.DE;703000;DE0007030009;Available
DAX;RWE AG;RWE.DE;703712;DE0007037129;Available
DAX;SAP SE;SAP;716460;DE0007164600;Available
DAX;Sartorius AG VZ;SRT3.DE;716563;DE0007165631;Available
DAX;Siemens AG;SIE.DE;723610;DE0007236101;Available
DAX;Siemens Energy AG;ENR;ENER6Y;DE000ENER6Y0;Available
DAX;Siemens Healthineers AG;SHL.DE;SHL100;DE000SHL1006;Available
DAX;Symrise AG;SY1.DE;SYM999;DE000SYM9999;Available
DAX;Volkswagen AG VZ;VOW3.DE;766403;DE0007664039;Available
DAX;Vonovia SE;VNA.DE;A1ML7J;DE000A1ML7J1;Available
DAX;Zalando SE;ZAL.DE;ZAL111;DE000ZAL1111;Available
S&P500;American Airlines Group Inc.;AAL;A1W97M;US02376R1023;No
S&P500;Apple Inc.;AAPL;865985;US0378331005;Available
S&P500;AbbVie Inc.;ABBV;A1J84E;US00287Y1091;Available
S&P500;Airbnb Inc.;ABNB;A2QG35;US0090661010;No
S&P500;Abbott Laboratories;ABT;850103;US0028241000;Available
S&P500;Accenture plc;ACN;A0YAQA;IE00B4BNMY34;Available
S&P500;Adobe Inc.;ADBE;871981;US00724F1012;Available
S&P500;Alaska Air Group Inc.;ALK;873767;US0116591092;No
S&P500;Applied Materials Inc.;AMAT;865177;US0382221051;Available
S&P500;Advanced Micro Devices Inc.;AMD;863186;US0079031078;Available
S&P500;Amgen Inc.;AMGN;867900;US0311621009;Available
S&P500;Amazon.com Inc.;AMZN;906866;US0231351067;Available
S&P500;Broadcom Inc.;AVGO;A2JG9Z;US11135F1012;Available
S&P500;Bank of America Corp;BAC;858388;US0605051046;Available
S&P500;BlackRock Inc.;BLK;928193;US09247X1019;Available
S&P500;Bristol-Myers Squibb;BMY;850501;US1101221083;Available
S&P500;Berkshire Hathaway Inc.;BRK-B;A0YJQ2;US0846707026;Available
